,Lat,Lon,City,Country,Description,Temp,Pressure,Humidity,Windspeed,Cloud Cover
0,-3.42,114.85,martapura,id,few clouds,75.2,1010,94,2.24,20
1,-34.48,-54.33,rocha,uy,overcast clouds,60.71,1011,79,6.85,100
2,57.23,59.33,staroutkinsk,ru,overcast clouds,6.4,1037,94,9.19,99
3,-54.8,-68.3,ushuaia,ar,light rain,44.6,983,75,18.34,40
4,-34.53,20.04,bredasdorp,za,scattered clouds,57.2,1011,87,3.36,46
5,51.38,1.39,margate,gb,overcast clouds,53.01,993,93,4.0,100
6,61.28,108.01,yerbogachen,ru,overcast clouds,-22.47,1028,85,8.66,96
7,-33.02,27.91,east london,za,scattered clouds,69.33,1009,86,12.68,31
8,18.42,-64.62,road town,vg,scattered clouds,78.8,1017,83,6.93,40
9,42.1,-79.24,jamestown,us,overcast clouds,33.01,1018,92,5.82,90
10,43.75,-81.72,goderich,ca,overcast clouds,32.0,1020,87,9.17,100
11,35.85,71.79,chitral,pk,overcast clouds,28.78,1025,81,5.03,100
12,-33.93,18.42,cape town,za,clear sky,61.0,1012,82,3.36,0
13,3.28,32.89,kitgum,ug,few clouds,70.18,1010,46,5.32,11
14,-21.36,55.77,saint-philippe,re,light rain,73.4,1013,88,13.87,90
15,69.45,-133.04,tuktoyaktuk,ca,scattered clouds,-9.4,1034,83,10.29,40
16,3.07,172.79,butaritari,ki,clear sky,82.35,1008,74,17.76,4
17,71.29,-156.79,barrow,us,clear sky,-4.0,1041,70,25.28,1
18,-13.7,-76.22,pisco,pe,clear sky,66.2,1012,88,18.34,0
19,67.45,153.68,srednekolymsk,ru,overcast clouds,-23.28,1026,86,6.76,100
20,62.46,-114.35,yellowknife,ca,few clouds,-29.2,1026,73,4.7,20
21,-42.88,147.33,hobart,au,clear sky,78.8,1015,39,12.75,0
22,45.52,-122.68,portland,us,overcast clouds,43.0,1017,75,4.7,90
23,36.96,36.2,erzin,tr,overcast clouds,55.99,1010,71,7.0,100
24,-45.42,167.72,te anau,nz,few clouds,62.38,1025,49,2.95,21
25,73.51,80.55,dikson,ru,overcast clouds,-2.51,1013,92,14.23,100
26,-0.74,-90.35,puerto ayora,ec,overcast clouds,73.0,1011,91,8.99,99
27,43.27,-7.54,bereda,es,overcast clouds,55.0,1007,100,8.99,99
28,-23.12,-134.97,rikitea,pf,scattered clouds,76.37,1015,68,5.7,39
29,64.38,-173.3,provideniya,ru,heavy snow,19.4,1006,85,29.08,90
30,-14.25,129.55,port keats,au,overcast clouds,85.96,1007,71,5.46,100
31,71.97,102.5,khatanga,ru,overcast clouds,-4.88,1006,92,9.69,100
32,65.61,-37.64,tasiilaq,gl,light intensity shower rain,39.2,1007,60,21.61,100
33,25.29,32.55,esna,eg,clear sky,60.8,1011,51,7.58,0
34,65.98,60.31,verkhnyaya inta,ru,light snow,24.87,1014,98,19.93,100
35,-6.53,-64.38,canutama,br,broken clouds,77.61,1009,82,1.81,69
36,5.28,115.24,labuan,my,few clouds,80.6,1010,88,1.12,20
37,-20.1,146.27,charters towers,au,overcast clouds,82.62,1007,51,1.01,85
38,11.78,-72.44,manaure,co,few clouds,81.16,1011,72,15.57,11
39,-7.51,-63.02,humaita,br,overcast clouds,77.81,1009,83,2.1,99
40,40.81,111.65,hohhot,cn,clear sky,-11.2,1029,69,4.47,0
41,42.6,-73.97,albany,us,overcast clouds,39.99,1014,69,8.52,98
42,60.41,57.08,krasnovishersk,ru,overcast clouds,6.22,1033,95,5.55,95
43,60.82,-115.8,hay river,ca,few clouds,-22.0,1030,67,2.24,22
44,7.77,-72.22,san cristobal,ve,scattered clouds,80.6,1013,69,6.93,40
45,64.84,-147.72,fairbanks,us,overcast clouds,8.6,1011,65,14.99,90
46,-40.81,-63.0,viedma,ar,scattered clouds,59.0,1008,42,4.61,42
47,42.25,-75.83,broome,us,overcast clouds,37.99,1017,80,6.93,90
48,38.89,-76.51,mayo,us,broken clouds,53.01,1018,62,8.05,75
49,-16.48,-151.75,faanui,pf,clear sky,80.42,1012,73,10.98,10
50,28.02,-97.52,san patricio,us,overcast clouds,71.6,1015,60,10.29,90
